window;estimator;vol_beta_high_vol;vol_beta_low_vol;corr_vol_beta_vol_market;mean_beta_bull;mean_beta_bear;vol_beta_bull;vol_beta_bear
30;ols;0.33439741638912773;0.5860909998075777;-0.16180523834960867;0.9590943429120502;0.9986121820463321;0.5079668587609212;0.40950510625928016
30;sw;0.2878095870404069;0.3973930930727723;-0.17735019683764275;0.9466510261174613;0.9944779277186878;0.3447471669159274;0.3227024035296599
30;vck;0.2668867564186447;0.3937736505165063;-0.17764398337225853;0.96310007293638;0.997708205122885;0.3368235118595774;0.30561922338379255
30;vr;0.2566298159905459;0.31528059699837285;-0.043942852361495505;0.5198647861627052;0.7765735187012428;0.2818492839812164;0.30254953223771913
30;wls;0.3432075835050337;0.6005853392931851;-0.1594622129485105;0.9599043509287132;0.9988921756306037;0.5258394230125985;0.4204992685795347
90;ols;0.2657700049373191;0.4452957972992067;-0.21413210053493803;0.9585054192483491;1.0139631964538813;0.3254140945839472;0.3570298872464538
90;sw;0.23216825697194887;0.32574166037236807;-0.19058495496913128;0.9529660410916041;1.0043668509382475;0.25976912243311023;0.2883066727865086
90;vck;0.22956612688127204;0.3367002541920389;-0.19569170266655744;0.9677638289120958;1.015513627678331;0.2615951843909882;0.2944063022371758
90;vr;0.20275741109479736;0.27873274178046864;-0.10605268178318938;0.5650909089173245;0.7509173272387569;0.20576312294585988;0.25926127563368123
90;wls;0.2671628640380159;0.4585531975091507;-0.21517990662790232;0.9616364358182561;1.009548647616991;0.3494189141378487;0.3510144995191786
180;ols;0.21837416559721198;0.37104784875033064;-0.24013982494486932;0.973167985137061;0.9977499772690205;0.2794265861933938;0.31856923194847664
180;sw;0.19934258248507386;0.28427823176850486;-0.21691520714119406;0.9647390662256595;0.992641610757391;0.2320358549612431;0.2601881883168536
180;vck;0.2017024594329336;0.2994124132422015;-0.23152499229718043;0.9802796838274839;1.0037330776243178;0.23912976585205628;0.2697649782120156
180;vr;0.15333226658021412;0.2586875571484007;-0.20248884445604357;0.604785370364173;0.7072179290523158;0.1882674622681404;0.22361983585212233
180;wls;0.225776607289494;0.38469007040055975;-0.2391368577351288;0.9692212301072516;1.0032231622868426;0.2904338077973997;0.3203806197474899
365;ols;0.17471910719904693;0.3294133501571506;-0.33382593316735953;0.9568642786719797;0.9687304449939889;0.24586566671731602;0.2616124219734212
365;sw;0.15800348036513445;0.272195506575493;-0.3608639928742069;0.9508493712386873;0.9689928855452867;0.2132657470342112;0.22284475076222104
365;vck;0.16580373415394778;0.2873935108263695;-0.36325382690065444;0.9629818020869415;0.9756521165509419;0.22253882628374191;0.23070687049743643
365;vr;0.11341638170099481;0.23086669568352558;-0.33325823871537397;0.6206465943808132;0.6641604286739686;0.1666434213984008;0.17887730217867925
365;wls;0.18250391468437838;0.33079222414633425;-0.2944769531995041;0.951497859159932;0.9676207773058443;0.2517530128393387;0.266131978802033
